x,base_cdf,fp_monotone_cdf,fp_nonmonotone_cdf
-1.0499999999999998,0.14798864923817617,0.03995896665607096,0.04675267020444591
-1.04,0.150311763349125,0.04080352579448912,0.04809407260852243
-1.0299999999999998,0.1526590465504106,0.04166451459492871,0.04947409631895858
-1.02,0.15503051313260635,0.04254221618949457,0.05089365273916784
-1.0099999999999998,0.1574261726721688,0.043436917023924,0.052353660374948915
-1.0,0.1598460299802213,0.044348906817745885,0.05385504413950747
-0.9899999999999998,0.1622900850527308,0.04527847852006804,0.055398734623926305
-0.98,0.16475833302211731,0.04622592826085672,0.05698566733312216
-0.9699999999999998,0.16725076411033435,0.04719155529757256,0.05861678188740285
-0.96,0.16976736358345842,0.04817566195702836,0.06029302118981478
-0.9499999999999997,0.17230811170782603,0.049178553572335026,0.06201533055955041
-0.94,0.1748729837077543,0.05020053841480396,0.06378465683176689
-0.9299999999999997,0.17746194972488266,0.05124192762067556,0.06560194742424959
-0.9199999999999999,0.18007497477917062,0.05230303511254611,0.06746814937144013
-0.9100000000000001,0.18271201873158763,0.05338417751536747,0.06938420832643452
-0.8999999999999999,0.18537303624852913,0.05448567406689738,0.0713510675316454
-0.8900000000000001,0.18805797676799277,0.05560784652248114,0.0733696667589111
-0.8799999999999999,0.19076678446754766,0.05675101905404901,0.07544094121992524
-0.8700000000000001,0.19349939823412943,0.0579155181432183,0.07756582044795036
-0.8599999999999999,0.196255751635692,0.05910167246839308,0.0797452271518716
-0.8500000000000001,0.1990357728947473,0.0603098127857596,0.08198007604373728
-0.8399999999999999,0.20183938486382197,0.061540271804080775,0.08427127264102573
-0.8300000000000001,0.20466650500286082,0.0627933840531992,0.08661971204496863
-0.8199999999999998,0.20751704535860424,0.0640694857461638,0.0890262776963523
-0.81,0.21039091254596706,0.06536891463490252,0.0914918401103088
-0.7999999999999998,0.21328800773144468,0.06669200985937035,0.09401725559169782
-0.79,0.21620822661857142,0.06803911179010955,0.096603364932768
-0.7799999999999998,0.21915145943545516,0.06941056186416722,0.09925099209487286
-0.77,0.22211759092441155,0.07080670241432387,0.10196094287610077
-0.7599999999999998,0.22510650033371882,0.07222787649159541,0.1047340035667605
-0.75,0.22811806141151483,0.07367442768098123,0.10757093959474362
-0.7399999999999998,0.23115214240185547,0.07514669991044005,0.11047249416286214
-0.73,0.23420860604295285,0.07664503725308654,0.11343938688033292
-0.7199999999999998,0.23728730956761088,0.07816978372261206,0.116472312390652
-0.71,0.24038810470587404,0.0797212830619447,0.11957193899816757
-0.6999999999999997,0.24351083768990453,0.08129987852517515,0.1227389072957242
-0.69,0.2466553492611012,0.08290591265278759,0.1259738287958089
-0.6799999999999997,0.2498214746794725,0.0845397270402474,0.12927728456768423
-0.6699999999999999,0.25300904373527544,0.08620166210001028,0.13264982388304325
-0.6600000000000001,0.256217880762929,0.08789205681703151,0.13609196287276473
